Wavelength (nm),Amplitude (AU)
1510.0,0.0
1510.001,-4.46409379834189
1510.002,-8.822075456896682
1510.003,-13.074451526489682
1510.004,-17.221728557946186
1510.0049999999999,-21.264413102091495
1510.0059999999999,-25.20301170975091
1510.0069999999998,-29.03803093174973
1510.0079999999998,-32.769977318913256
1510.0089999999998,-36.39935742206679
1510.0099999999998,-39.926677792035626
1510.0109999999997,-43.35244497964508
1510.0119999999997,-46.677165535720434
1510.0129999999997,-49.90134601108699
1510.0139999999997,-53.02549295657006
1510.0149999999996,-56.05011292299494
1510.0159999999996,-58.97571246118692
1510.0169999999996,-61.80279812197132
1510.0179999999996,-64.5318764561734
1510.0189999999996,-67.16345401461854
1510.0199999999995,-69.69803734813195
1510.0209999999995,-72.13613300753897
1510.0219999999995,-74.4782475436649
1510.0229999999995,-76.72488750733507
1510.0239999999994,-78.87655944937472
1510.0249999999994,-80.93376992060918
1510.0259999999994,-82.89702547186374
1510.0269999999994,-84.76683265396373
1510.0279999999993,-86.54369801773444
1510.0289999999993,-88.22812811400115
1510.0299999999993,-89.82062949358917
1510.0309999999993,-91.32170870732381
1510.0319999999992,-92.73187230603035
1510.0329999999992,-94.05162684053411
1510.0339999999992,-95.28147886166037
1510.0349999999992,-96.42193492023442
1510.0359999999991,-97.47350156708164
1510.0369999999991,-98.43668535302723
1510.037999999999,-99.31199282889656
1510.038999999999,-100.09993054551488
1510.039999999999,-100.80100505370753
1510.040999999999,-101.41572290429977
1510.041999999999,-101.94459064811697
1510.042999999999,-102.38811483598434
1510.043999999999,-102.74680201872725
1510.044999999999,-103.02115874717096
1510.045999999999,-103.2116915721408
1510.046999999999,-103.31890704446204
1510.0479999999989,-103.34331171496002
1510.0489999999988,-103.28541213445996
1510.0499999999988,-103.1457148537873
1510.0509999999988,-102.92472642376717
1510.0519999999988,-102.62295339522498
1510.0529999999987,-102.24090231898603
1510.0539999999987,-101.7790797458756
1510.0549999999987,-101.23799222671899
1510.0559999999987,-100.61814631234147
1510.0569999999987,-99.92004855356834
1510.0579999999986,-99.14420550122502
1510.0589999999986,-98.29112370613666
1510.0599999999986,-97.36130971912863
1510.0609999999986,-96.35527009102617
1510.0619999999985,-95.27351137265471
1510.0629999999985,-94.11654011483942
1510.0639999999985,-92.88486286840565
1510.0649999999985,-91.5789861841787
1510.0659999999984,-90.19941661298392
1510.0669999999984,-88.74666070564648
1510.0679999999984,-87.22122501299182
1510.0689999999984,-85.62361608584513
1510.0699999999983,-83.95434047503174
1510.0709999999983,-82.21390473137706
1510.0719999999983,-80.40281540570626
1510.0729999999983,-78.52157904884464
1510.0739999999983,-76.57070221161757
1510.0749999999982,-74.55069144485039
1510.0759999999982,-72.46205329936828
1510.0769999999982,-70.30529432599656
1510.0779999999982,-68.08092107556058
1510.0789999999981,-65.78944009888565
1510.079999999998,-63.431357946796986
1510.080999999998,-61.00718117012002
1510.081999999998,-58.51741631967989
1510.082999999998,-55.9625699463021
1510.083999999998,-53.343148600811745
1510.084999999998,-50.659658834034225
1510.085999999998,-47.912607196794845
1510.086999999998,-45.10250023991886
1510.087999999998,-42.229844514231665
1510.088999999998,-39.29514657055845
1510.0899999999979,-36.298912959724525
1510.0909999999978,-33.2416502325553
1510.0919999999978,-30.123864939875915
1510.0929999999978,-26.946063632511866
1510.0939999999978,-23.708752861288247
1510.0949999999978,-20.412439177030436
1510.0959999999977,-17.05762913056391
1510.0969999999977,-13.644829272713665
1510.0979999999977,-10.17454615430512
1510.0989999999977,-6.647286326163709
1510.0999999999976,-3.0635563391146547
1510.1009999999976,0.5761372560168638
1510.1019999999976,4.2712879084054975
1510.1029999999976,8.021389067225812
1510.1039999999975,11.82593418165267
1510.1049999999975,15.684416700860666
1510.1059999999975,19.59633007402452
1510.1069999999975,23.561167750318873
1510.1079999999974,27.57842317891854
1510.1089999999974,31.647589808998276
1510.1099999999974,35.76816108973256
1510.1109999999974,39.939630470296336
1510.1119999999974,44.16149139986403
1510.1129999999973,48.433237327610684
1510.1139999999973,52.75436170271075
1510.1149999999973,57.124357974338835
1510.1159999999973,61.54271959166985
1510.1169999999972,66.00894000387845
1510.1179999999972,70.52251266013937
1510.1189999999972,75.08293100962732
1510.1199999999972,79.68968850151671
1510.1209999999971,84.34227858498278
1510.1219999999971,89.04019470919971
1510.122999999997,93.78293032334244
1510.123999999997,98.56997887658557
1510.124999999997,103.4008338181039
1510.125999999997,108.27498859707214
1510.126999999997,113.19193666266486
